"screen","date","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","module","rt","response","stimulus"
"browser_info","13/03/2025","14:57:15","1536","730","true","chrome","133.0.0","false","Windows 10","true","60.23","true","true","browser-check","0","2.1.0","1013","Bayesian","","",""
"feedback","","","","","","","","","","","","","","survey","1","null","357836","","356730","{""Occupation"":""PhD (Neuroscience)"",""WhatDidYouLike"":""It makes you think cos there a lot of questions during the teaching (a lot of them trick questions but still good). The content is good and covers a broad range of methods and components of Bayes. "",""WhatWouldYouChange"":""More detail on the computational details of the procedures. Like Gaussian Quadrature, please tell us what that is instead of telling us to just believe you on it. I get that it complicated by I think we can handle a bit more detail. "",""Learned"":4,""Teaching"":4,""Enjoyed"":4,""Quality"":null}",""
"waitdatasaving","","","","","","","","","","","","","","html-button-response","2","2.1.0","359766","","1927","0","<p>Done! now click on 'Continue' and <b>wait until your responses have been successfully saved</b> before closing the tab.</p> "
