"rt","response","screen","trial_type","trial_index","time_elapsed","internal_node_id","question_order","stimulus"
"210564","{""Occupation"":""MRes"",""WhatDidYouLike"":""I genuinely did not know anything about Bayesian stats before and this module has been enlightening. I enjoy the pace, content and interactiveness of the class."",""WhatWouldYouChange"":""Nothing so far.""}","freetext","survey-text","0","210643","0.0-0.0","",""
"41990","{""Engaging"":2,""Clear"":2,""Interesting"":2,""Interactive"":2}","likert1","survey-likert","1","252637","0.0-1.0","[2,1,3,0]",""
"14624","{""Career"":2,""Understanding"":4,""Application"":3,""Enjoyed"":4}","likert2","survey-likert","2","267264","0.0-2.0","[0,1,2,3]",""
"1669","{""Feedback"":""""}","feedback","survey-text","3","268937","0.0-3.0","",""
"2057","0","waitdatasaving","html-button-response","4","270998","0.0-4.0","","<p>Done! now click on 'Continue' and <b>wait until your responses have been successfully saved</b> before closing the tab.</p> "
