"screen","date","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","module","rt","response","stimulus"
"browser_info","13/03/2025","14:57:15","1536","742","true","chrome","134.0.0","false","Windows 10","true","60.2","true","true","browser-check","0","2.1.0","1001","Bayesian","","",""
"feedback","","","","","","","","","","","","","","survey","1","null","198416","","197345","{""Occupation"":""PhD (Psychology)"",""WhatDidYouLike"":""Great visual explanations used to get the concepts across"",""WhatWouldYouChange"":""smaller room"",""Learned"":4,""Quality"":""Exceptional"",""Teaching"":4,""Enjoyed"":4}",""
"waitdatasaving","","","","","","","","","","","","","","html-button-response","2","2.1.0","202702","","4273","0","<p>Done! now click on 'Continue' and <b>wait until your responses have been successfully saved</b> before closing the tab.</p> "
