"screen","date","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","module","rt","response","stimulus"
"browser_info","13/03/2025","14:56:47","647","561","true","chrome","133.0.0","false","Chrome OS","true","61.16","true","true","browser-check","0","2.1.0","1003","Bayesian","","",""
"feedback","","","","","","","","","","","","","","survey","1","null","445814","","444676","{""Occupation"":""MRes"",""WhatDidYouLike"":""Relaxed pace, engaging teaching style, cake = good"",""WhatWouldYouChange"":""Maybe some reading or some way to understand more of the written applications or real-life examples of how Bayes is used. idk if that makes sense but i feel the need to visualise and understand exactly how i would use statistics "",""Quality"":""Above average"",""Learned"":3,""Teaching"":4,""Enjoyed"":3}",""
"waitdatasaving","","","","","","","","","","","","","","html-button-response","2","2.1.0","447233","","1408","0","<p>Done! now click on 'Continue' and <b>wait until your responses have been successfully saved</b> before closing the tab.</p> "
