"rt","response","screen","trial_type","trial_index","time_elapsed","internal_node_id","question_order","stimulus"
"29184","{""Occupation"":""MRes"",""WhatDidYouLike"":""The pacing was appropriate and made it easier to understand"",""WhatWouldYouChange"":""""}","freetext","survey-text","0","29195","0.0-0.0","",""
"9847","{""Clear"":2,""Interesting"":2,""Engaging"":2,""Interactive"":2}","likert1","survey-likert","1","39045","0.0-1.0","[1,3,2,0]",""
"10628","{""Career"":3,""Understanding"":3,""Application"":2,""Enjoyed"":3}","likert2","survey-likert","2","49677","0.0-2.0","[0,1,2,3]",""
"1378","{""Feedback"":""""}","feedback","survey-text","3","51061","0.0-3.0","",""
"815","0","waitdatasaving","html-button-response","4","51878","0.0-4.0","","<p>Done! now click on 'Continue' and <b>wait until your responses have been successfully saved</b> before closing the tab.</p> "
