"rt","response","screen","trial_type","trial_index","time_elapsed","internal_node_id","question_order","stimulus"
"82870","{""Occupation"":""MRes"",""WhatDidYouLike"":""Spiderman meme"",""WhatWouldYouChange"":""Learn some Bayesian statistics rather than doing really basic things that we have covered in previous modules""}","freetext","survey-text","0","491180","0.0-0.0","",""
"34112","{""Clear"":2,""Interesting"":0,""Engaging"":2,""Interactive"":2}","likert1","survey-likert","1","525298","0.0-1.0","[1,3,2,0]",""
"49473","{""Career"":1,""Understanding"":1,""Application"":1,""Enjoyed"":2}","likert2","survey-likert","2","574777","0.0-2.0","[0,1,2,3]",""
"117864","{""Feedback"":""The TAP was very easy, with very little relevance to Bayesian statistics apart from the last two questions which we were directly told the answers to as advice for the assessment. There needs to be more planning of the content, ensuring it is relevant and considering the fact that we all have some previous experience of statistics and don't need to be taught to install packages or calculate a mean.""}","feedback","survey-text","3","692643","0.0-3.0","",""
"3800","0","waitdatasaving","html-button-response","4","696446","0.0-4.0","","<p>Done! now click on 'Continue' and <b>wait until your responses have been successfully saved</b> before closing the tab.</p> "
