"screen","date","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","module","rt","response","stimulus"
"browser_info","13/03/2025","14:56:43","691","768","true","safari","17.4.0","false","Mac OS","true","29.99","true","true","browser-check","0","2.1.0","2013","Bayesian","","",""
"feedback","","","","","","","","","","","","","","survey","1","null","79531","","77438","{""Occupation"":""MRes"",""WhatDidYouLike"":""I liked the pace, the teaching style, and the depth of detail. Everything was explained so well. It has definitely been my favourite module this term :)"",""WhatWouldYouChange"":""Nothing!"",""Quality"":""Above average"",""Learned"":4,""Teaching"":4,""Enjoyed"":4}",""
"waitdatasaving","","","","","","","","","","","","","","html-button-response","2","2.1.0","81031","","1498","0","<p>Done! now click on 'Continue' and <b>wait until your responses have been successfully saved</b> before closing the tab.</p> "
